Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Density,Enthalpy_mix (Hmix),Entropy_mix (Smix),Tm,Aatomic_Size_Difference,Electro_Negativity_Difference,VEC,Phase,BCC,BCC+Im,FCC,FCC+BCC,FCC+BCC+Im,FCC+Im
0.1111,0,0,0,0,0,0,0.2222,0.2222,0.2222,0,0,0,0.2222,8.4709,-8.3951,13.1459,2361.0134,3.73770503,0.0496,4.8884,BCC,1,,,,,
0.1579,0,0,0,0,0,0,0.2105,0.2105,0.2105,0.2105,0,0,0,6.6065,-9.3518,13.3328,2202.249,3.86350558,0.2328,5.1574,BCC,1,,,,,
0.0588,0,0,0,0,0,0,0.2353,0.2353,0.2353,0.2353,0,0,0,7.0757,-4.0415,12.7084,2351.859,4.003429852,0.2432,5.0588,BCC,1,,,,,
0.0588,0,0,0,0,0,0,0.2353,0.2353,0.2353,0,0,0,0.2353,8.8055,-4.8166,12.7084,2445.2731,3.832481553,0.0502,4.8235,BCC,1,,,,,
0.0476,0,0,0,0,0,0,0.2381,0.2381,0,0.2381,0,0,0.2381,7.1288,-3.356,12.5692,2499.9361,4.027784715,0.2443,5.0476,BCC,1,,,,,
0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,7.71,-4.86,13.46,2315.34,5.304755212,0.11,4.52,BCC,1,,,,,
0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,7.71,-4.86,13.46,2315.34,5.304755212,0.11,4.52,BCC,1,,,,,
0.06,0,0,0,0,0,0,0.28,0.04,0.2,0,0.26,0,0.16,7.71,-4.86,13.46,2315.34,5.304755212,0.11,4.52,BCC,1,,,,,
0.1,0,0.2,0,0,0,0,0.4,0.1,0.2,0,0,0,0,5.7858,-10.96,12.229,2072.4,6.018491588,0.0469,4.9,BCC,1,,,,,
0.1111,0,0,0,0,0,0,0.2222,0.2222,0.2222,0.2222,0,0,0,6.8278,-7.0123,13.1459,2272.8,3.93260213,0.2378,5.1106,BCC,1,,,,,
0.1304,0,0,0,0,0,0,0,0.2174,0.2174,0.2174,0,0,0.2174,6.7364,-8.0151,13.2423,2537.8468,3.416140884,0.2358,5.3478,BCC,1,,,,,
0.2727,0,0,0,0,0,0,0.1818,0.1818,0.1818,0.1818,0,0,0,6.0653,-13.8182,13.2546,2029.188,3.670153625,0.2192,5.2722,BCC,1,,,,,
0.2222,0,0.1111,0,0,0,0,0.2222,0.2222,0.2222,0,0,0,0,5.6471,-15.4074,13.1459,1975.1631,5.232784378,0.0376,5.1106,BCC,1,,,,,
