Tm,ASD,VEC,Phase
2361.0134,3.73770503,4.8884,BCC
2202.249,3.86350558,5.1574,BCC
2351.859,4.003429852,5.0588,BCC
2445.2731,3.832481553,4.8235,BCC
2499.9361,4.027784715,5.0476,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2315.34,5.304755212,4.52,BCC
2072.4,6.018491588,4.9,BCC
2272.8,3.93260213,5.1106,BCC
2537.8468,3.416140884,5.3478,BCC
2029.188,3.670153625,5.2722,BCC
1975.1631,5.232784378,5.1106,BCC
1975.1631,5.232784378,5.1106,BCC
2139,3.796497761,5.2,BCC
2578.25,4.086753027,5,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2133.6,3.480910165,4.8,BCC
2218.4,3.566544342,5,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2671.1535,4.416051244,4.6144,BCC
2377.25,5.730437906,4.5,BCC
2377.25,5.730437906,4.5,BCC
2326.75,4.788305286,4.25,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2273.25,4.660302736,4.125,BCC
2253.8,4.495453867,4.1,BCC
2538.8843,5.272335133,4.4766,BCC
2554.6809,5.487212397,4.545,BCC
2430.625,5.935296931,4.625,BCC
